Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dragan Bender,216.0,102.0,,1997.0,43.0,574.0,57.0,161.0,4.0,11.0,28.0,101.0,29.0,60.0,23.0,80.0,103.0,23.0,10.0,22.0,32.0,74.0,146.0
Dragan Tarlac,208.0,117.0,,1973.0,43.0,598.0,39.0,99.0,25.0,33.0,0.0,0.0,39.0,99.0,37.0,85.0,122.0,31.0,7.0,19.0,38.0,95.0,103.0
Draymond Green,201.0,104.0,Michigan State University,1990.0,397.0,10627.0,1283.0,2950.0,639.0,920.0,361.0,1082.0,922.0,1868.0,490.0,2194.0,2684.0,1627.0,540.0,415.0,718.0,1100.0,3566.0
Drazen Petrovic*,196.0,88.0,,1964.0,351.0,8684.0,1948.0,3862.0,910.0,1083.0,278.0,648.0,1670.0,3214.0,291.0,488.0,779.0,787.0,308.0,28.0,677.0,883.0,5084.0
Drew Barry,196.0,86.0,Georgia Institute of Technology,1973.0,76.0,757.0,58.0,136.0,28.0,36.0,31.0,81.0,27.0,55.0,8.0,71.0,79.0,144.0,21.0,2.0,68.0,98.0,175.0
Drew Gooden,208.0,113.0,University of Kansas,1981.0,1050.0,27141.0,4644.0,10060.0,2331.0,3038.0,103.0,408.0,4541.0,9652.0,2536.0,5031.0,7567.0,1155.0,716.0,638.0,1614.0,2670.0,11722.0
Drew Gordon,206.0,111.0,University of New Mexico,1990.0,9.0,71.0,8.0,19.0,1.0,2.0,0.0,3.0,8.0,16.0,7.0,11.0,18.0,2.0,1.0,0.0,8.0,7.0,17.0
Duane Causwell,213.0,108.0,Temple University,1968.0,541.0,9409.0,1029.0,2029.0,588.0,952.0,2.0,7.0,1027.0,2022.0,794.0,1479.0,2273.0,243.0,220.0,767.0,500.0,1471.0,2648.0
Duane Cooper,185.0,83.0,University of Southern California,1969.0,88.0,781.0,80.0,199.0,36.0,50.0,8.0,37.0,72.0,162.0,15.0,44.0,59.0,178.0,21.0,2.0,89.0,78.0,204.0
Duane Ferrell,201.0,94.0,Georgia Institute of Technology,1965.0,583.0,8734.0,1420.0,2961.0,822.0,1096.0,42.0,146.0,1378.0,2815.0,552.0,580.0,1132.0,509.0,302.0,105.0,509.0,902.0,3704.0
Duane Washington,193.0,88.0,Middle Tennessee State University,1964.0,19.0,184.0,18.0,47.0,16.0,20.0,2.0,4.0,16.0,43.0,5.0,19.0,24.0,39.0,13.0,0.0,11.0,25.0,54.0
Dudley Bradley,198.0,88.0,University of North Carolina,1957.0,379.0,6115.0,631.0,1537.0,289.0,403.0,132.0,417.0,499.0,1120.0,146.0,471.0,617.0,672.0,530.0,120.0,352.0,756.0,1683.0
Duje Dukan,206.0,99.0,University of Wisconsin,1991.0,1.0,24.0,2.0,10.0,0.0,0.0,2.0,5.0,0.0,5.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0
Dwayne Jones,208.0,95.0,University of Houston,1952.0,82.0,636.0,33.0,65.0,41.0,83.0,0.0,1.0,33.0,64.0,86.0,105.0,191.0,12.0,11.0,29.0,26.0,112.0,107.0
Dwayne McClain,198.0,83.0,Villanova University,1963.0,45.0,461.0,69.0,180.0,18.0,35.0,1.0,9.0,68.0,171.0,14.0,16.0,30.0,67.0,38.0,4.0,40.0,61.0,157.0
Dwayne Morton,201.0,88.0,University of Louisville,1971.0,41.0,395.0,50.0,129.0,58.0,85.0,9.0,25.0,41.0,104.0,21.0,37.0,58.0,18.0,11.0,15.0,27.0,45.0,167.0
Dwayne Polee,196.0,81.0,Pepperdine University,1963.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0
Dwayne Schintzius,216.0,117.0,University of Florida,1968.0,217.0,1950.0,256.0,633.0,74.0,116.0,1.0,8.0,255.0,625.0,167.0,369.0,536.0,93.0,30.0,117.0,119.0,321.0,587.0
Dwayne Whitfield,206.0,108.0,Jackson State University,1972.0,8.0,122.0,13.0,30.0,14.0,22.0,0.0,0.0,13.0,30.0,9.0,16.0,25.0,2.0,3.0,2.0,8.0,14.0,40.0
Dwight Buycks,190.0,86.0,Marquette University,1989.0,20.0,269.0,33.0,88.0,17.0,19.0,12.0,28.0,21.0,60.0,6.0,29.0,35.0,24.0,11.0,0.0,22.0,14.0,95.0
Dwight Howard,211.0,120.0,,1985.0,954.0,33291.0,5988.0,10237.0,4671.0,8255.0,5.0,56.0,5983.0,10181.0,3392.0,8697.0,12089.0,1426.0,931.0,1916.0,2835.0,3092.0,16652.0
Dwight Powell,211.0,108.0,Stanford University,1991.0,204.0,2797.0,402.0,807.0,262.0,349.0,29.0,112.0,373.0,695.0,213.0,466.0,679.0,111.0,115.0,75.0,96.0,333.0,1095.0
Dwyane Wade,193.0,99.0,Marquette University,1982.0,915.0,32352.0,7739.0,15975.0,5408.0,7041.0,431.0,1502.0,7308.0,14473.0,1140.0,3257.0,4397.0,5173.0,1500.0,800.0,3020.0,2086.0,21317.0
Dyron Nix,201.0,95.0,University of Tennessee,1967.0,20.0,109.0,14.0,39.0,11.0,16.0,0.0,0.0,14.0,39.0,8.0,18.0,26.0,5.0,3.0,1.0,7.0,15.0,39.0
E'Twaun Moore,208.0,102.0,,1986.0,380.0,7106.0,1007.0,2314.0,197.0,263.0,278.0,753.0,729.0,1561.0,145.0,522.0,667.0,648.0,229.0,95.0,310.0,540.0,2489.0
Earl Barron,213.0,113.0,University of Memphis,1981.0,173.0,2449.0,305.0,837.0,145.0,212.0,3.0,18.0,302.0,819.0,242.0,387.0,629.0,79.0,59.0,42.0,134.0,340.0,758.0
Earl Boykins,165.0,61.0,Eastern Michigan University,1976.0,766.0,15477.0,2485.0,5944.0,1495.0,1704.0,490.0,1381.0,1995.0,4563.0,343.0,716.0,1059.0,2464.0,464.0,37.0,913.0,794.0,6955.0
Earl Clark,208.0,102.0,University of Louisville,1988.0,357.0,4862.0,618.0,1544.0,199.0,307.0,123.0,377.0,495.0,1167.0,254.0,768.0,1022.0,161.0,108.0,179.0,234.0,435.0,1558.0
Earl Cureton,206.0,95.0,University of Detroit Mercy,1957.0,488.0,11015.0,1357.0,2827.0,464.0,853.0,0.0,14.0,1357.0,2813.0,1090.0,1553.0,2643.0,664.0,262.0,312.0,604.0,1226.0,3178.0
Earl Jones,213.0,95.0,University of the District of Columbia,1961.0,14.0,50.0,5.0,13.0,3.0,4.0,0.0,0.0,5.0,13.0,4.0,6.0,10.0,4.0,0.0,1.0,8.0,13.0,13.0
Earl Watson,185.0,88.0,"University of California, Los Angeles",1979.0,948.0,21072.0,2331.0,5648.0,942.0,1344.0,612.0,1823.0,1719.0,3825.0,486.0,1657.0,2143.0,4160.0,941.0,186.0,1684.0,1914.0,6216.0
Ed Davis,208.0,108.0,University of North Carolina,1989.0,562.0,11667.0,1625.0,2910.0,651.0,1131.0,0.0,1.0,1625.0,2909.0,1248.0,2274.0,3522.0,462.0,293.0,535.0,440.0,1376.0,3901.0
Ed Gray,190.0,95.0,University of California,1975.0,60.0,809.0,130.0,384.0,83.0,102.0,30.0,88.0,100.0,296.0,16.0,57.0,73.0,46.0,27.0,12.0,59.0,103.0,373.0
Ed Horton,203.0,104.0,University of Iowa,1967.0,45.0,374.0,80.0,162.0,42.0,69.0,0.0,4.0,80.0,158.0,59.0,49.0,108.0,19.0,9.0,5.0,39.0,63.0,202.0
Ed Nealy,201.0,107.0,Kansas State University,1960.0,471.0,4755.0,382.0,843.0,202.0,296.0,46.0,159.0,336.0,684.0,376.0,858.0,1234.0,309.0,166.0,33.0,156.0,594.0,1012.0
Ed O'Bannon,203.0,100.0,"University of California, Los Angeles",1972.0,192.0,2871.0,342.0,958.0,139.0,178.0,46.0,196.0,296.0,762.0,165.0,299.0,464.0,141.0,102.0,35.0,102.0,289.0,869.0
